"Series Description","Australian Dollar","Euro-Area Euro","New Zealand Dollar","United Kingdom Pound","Brazilian Real","Canadian Dollar","Chinese Yuan","Danish Krone","Hong Kong Dollar","Indian Rupee","Japanese Yen","Malaysian Ringgit","Mexican Peso","Norwegian Krone","South African Rand","Singapore Dollar","South Korean Won","Sri Lankan Rupee","Swedish Krona","Swiss Franc","Taiwanese N.T. Dollar","Thailand Baht","Venezuelan Bolivar"
"Unit:","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency"
"Multiplier:","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"Currency:","AUD","EUR","NZD","GBP","BRL","CAD","CNY","DKK","HKD","INR","JPY","MYR","MXN","NOK","ZAR","SGD","KRW","LKR","SEK","CHF","TWD","THB","VEB"
"Unique Identifier: ","H10/H10/RXI$US_N.B.AL","H10/H10/RXI$US_N.B.EU","H10/H10/RXI$US_N.B.NZ","H10/H10/RXI$US_N.B.UK","H10/H10/RXI_N.B.BZ","H10/H10/RXI_N.B.CA","H10/H10/RXI_N.B.CH","H10/H10/RXI_N.B.DN","H10/H10/RXI_N.B.HK","H10/H10/RXI_N.B.IN","H10/H10/RXI_N.B.JA","H10/H10/RXI_N.B.MA","H10/H10/RXI_N.B.MX","H10/H10/RXI_N.B.NO","H10/H10/RXI_N.B.SF","H10/H10/RXI_N.B.SI","H10/H10/RXI_N.B.KO","H10/H10/RXI_N.B.SL","H10/H10/RXI_N.B.SD","H10/H10/RXI_N.B.SZ","H10/H10/RXI_N.B.TA","H10/H10/RXI_N.B.TH","H10/H10/RXI_N.B.VES"
"Time Period","RXI$US_N.B.AL","RXI$US_N.B.EU","RXI$US_N.B.NZ","RXI$US_N.B.UK","RXI_N.B.BZ","RXI_N.B.CA","RXI_N.B.CH","RXI_N.B.DN","RXI_N.B.HK","RXI_N.B.IN","RXI_N.B.JA","RXI_N.B.MA","RXI_N.B.MX","RXI_N.B.NO","RXI_N.B.SF","RXI_N.B.SI","RXI_N.B.KO","RXI_N.B.SL","RXI_N.B.SD","RXI_N.B.SZ","RXI_N.B.TA","RXI_N.B.TH","RXI_N.B.VES"
1990-01-01,ND,,ND,ND,,ND,ND,ND,ND,ND,ND,ND,,ND,ND,ND,ND,ND,ND,ND,ND,ND,
1990-01-02,0.7855,,0.5930,1.6110,,1.1605,4.7339,6.6350,7.8120,16.9600,146.2500,2.7070,,6.6375,2.5650,1.9030,ND,40.0175,6.2300,1.5768,ND,25.7100,
1990-01-03,0.7818,,0.5940,1.6100,,1.1613,4.7339,6.6975,7.8140,16.9900,145.7000,2.7085,,6.6575,2.5770,1.9085,683.5000,40.0175,6.2700,1.5785,ND,ND,
1990-01-04,0.7867,,0.5973,1.6293,,1.1614,4.7339,6.5525,7.8150,16.9400,143.3700,2.7050,,6.5700,2.5350,1.9000,684.2000,40.0175,6.1760,1.5420,26.1100,25.8000,
1990-01-05,0.7860,,0.5970,1.6370,,1.1600,4.7339,6.5570,7.8140,16.9300,143.8200,2.7075,,6.5500,2.5225,1.9090,683.7000,40.0175,6.1720,1.5370,26.0250,25.7100,
1990-01-08,0.7849,,0.5985,1.6530,,1.1601,4.7339,6.4860,7.8125,16.9300,144.1000,2.7030,,6.5070,2.5300,1.8960,683.6000,40.0175,6.1400,1.5238,25.9150,25.7400,
1990-01-09,0.7866,,0.6040,1.6537,,1.1614,4.7339,6.5350,7.8120,16.9300,145.2000,2.7055,,6.5220,2.5425,1.9005,684.0000,40.0175,6.1510,1.5270,25.9900,25.7100,
1990-01-10,0.7886,,0.6070,1.6620,,1.1589,4.7339,6.5300,7.8090,16.9200,145.2500,2.7035,,6.5100,2.5500,1.8955,684.7000,40.0175,6.1420,1.5125,ND,25.7400,
